user,location,text
sergioaloserio,Cartagena de Indias - Bolívar,"#LaEncuestaDice lo que el pueblo reclama y es un presidente con propuestas, con argumentos que su prioridad sea ese… https://t.co/SeOZF0eMUi"
Cambioalafuerza,,@guribe3 @Veronic20256036 Ojalá sea así #ElCambioEnPrimera
ColResistiendo,Colombia,"Hoy desde Fusagasugá con el candidato presidencial @petrogustavo en la plaza principal.

Todos y todas a defender l… https://t.co/yZKoxsvCv3"
WilsonA25901603,,@FicoGutierrez Así están las cosas Federico para que se vaya bajando de esa nube en la que anda #ElCambioEnPrimera… https://t.co/VdR5yAVnNk
Marroquinrdiego,,#ElCambioEnPrimera con toda en primera vuelta…Petro presidente
DidierCano13,,@MargaritaRepo Ese refrito es el que lo tiene prácticamente perdiendo hasta de local. Dizque 38 % en tierra uribist… https://t.co/wXkT5UBWKh
Reo1087985,,".@el_pais dice

""El mensaje es un guiño nada sutil a la intención de la campaña del Pacto Histórico""

Eso es FALSO… https://t.co/IgPc9wir6Y"
Lucrecia_Lop_,,"@QuinteroCalle Como uno solo por la transformación, con el pacto de la esperanza. #ElCambioEnPrimera ."
miguelanthonyz,"Bogotá, D.C., Colombia","Moral petrista: 
✅Alcaldes petristas pueden incumplir la ley 
❌Todos los demás no.
#ElCambioEnPrimera"
yisusandres25,,Señora procuradora debería suspenderse a usted misma por participar en política. #ElCambioEnPrimera
Lawyerneutro,,"Los lugares más atacados por este gobierno nefasto y mediocre, le están demostrando al mundo que ya despertaron, la… https://t.co/ZteowhQKyK"
Marroquinrdiego,,"#ElCambioEnPrimera Vamos con toda a la primera vuelta, y es hora de acabar este narco gobierno"
Cafesys,,"Lección número dos. #ElCambioEnPrimera opera también en motos @PGN_COL
https://t.co/EclyMNkXhj"
susanamuhamad,Bogota,Llegamos a Fusagasugá a acompañar junto a la alegría y música de la gente a nuestro próximo presidente… https://t.co/FbrHgISFVU
RensoCano,,"@QuinteroCalle Unidos por la transformación, con el pacto de la esperanza. #ElCambioEnPrimera ."
Lullyp,Medellín,"Dignidad es lo que debemos expresar en las urnas en #mayo29 
#EnPrimeraVotoPor Gustavo Petro
#ElCambioEnPrimera… https://t.co/rPilYc0k4o"
PachoBran,Medellín,"¿Entonces ahora sí es una ""Contraloría perseguidora"" pero con el montaje contra @sergio_fajardo si era una instituc… https://t.co/VzMCYCgjiw"
HerndxJhona,Encanto🇨🇴,"@smilelalis Obvio bobis, jamás Uribista, nunca más, no más uribismo!
#ElCambioEnPrimera 🫶🇨🇴💪"
APOLOC8,Delaware,"Ese motor de la campaña de Fico estaba mal del cigüeñal no aguanto #ElCambioEnPrimera y se fundió..plop

#ChaoPerdieron"
JesusMariaPosa1,,"@QuinteroCalle Como hermanos a sacar adelante la educación, con Petro. #ElCambioEnPrimera ."
LuisEdu81892050,,La ilegitimidad de este gobierno es total. Es nuestra responsabilidad rescatar al estado de ésta horda insufrible.… https://t.co/shd7sgBKjK
MariaMe55978095,,@AlvaroUribeVel Gracias por demostrarnos que si estamo en una dictadura señor Uribe #ElCambioEnPrimera
blackchaca,"Barranquilla, Colombia","@miltonForero16 Yo, el #ElCambioEnPrimera"
CacerolaR,,"Más que nunca hay que resistir: en esta recta final debemos seguir conquistando el abstencionismo, a los tibios y a… https://t.co/nyHYnL0rxw"
JuanitoGarces3,,"@QuinteroCalle De la mano a sacar adelante al país, con la nueva generación. #ElCambioEnPrimera ."
KellyGar34,,"@QuinteroCalle Como hermanos por el cambio, con el pacto de la esperanza. #ElCambioEnPrimera ."
Dani_BogotaDC,"Bogota, Colombia",@adiazgranados @diosdeltechno Ps es de esos videos donde el mensaje no es explicito. Obvio está apoyando la campaña… https://t.co/CyELbeaiFO
PimientaJuanito,,"#LaEncuestaDice SIEMPRE QUÉ PETRO VA A GANAR, PERO LAS URNAS SIEMPRE DICEN QUÉ PETRO PERDIÓ, ASÍ QUE NO NOS  DESANI… https://t.co/hcifkUJJf2"
LUISHESPINEL,Bogotá.,#ElCambioEnPrimera #ALaDerechaEsRetroceder se necesitan más tutoriales de conducción. Adelante magisterio @fecode c… https://t.co/u5bAfYgA1a
CARDAPARI,,@PGN_COL Que se siente ser la concubina de un narco estado? Te sientes como Virginia Vallejo?… https://t.co/MO1bUylDYt
IsabelHoyo_,,"@QuinteroCalle Como uno solo por Colombia, con Petro. #ElCambioEnPrimera ."
miguelanthonyz,"Bogotá, D.C., Colombia",A Quintero lo sancionan por participación indebida en política y acto seguido sale a reclamar haciendo una manifest… https://t.co/o6CGDGVeMP
Borisaleman1986,,"@PGN_COL #MargaritaCabello  Son una institución corrupta , sirven pa verg4 !!!! Pero así quieran poner miles de pro… https://t.co/5aXBjOspCJ"
